PFAM	KO	PATHWAY	PATHWAY NAME
PF10417		1	PF10417
PF12574		2	PF12574
PF09847		3	PF09847
PF00244		4	PF00244
PF16998		5	PF16998
PF00389		6	PF00389
PF02826		7	PF02826
PF00198		8	PF00198
PF16078		9	PF16078
PF04029		10	PF04029
PF16620		11	PF16620
PF05635		12	PF05635
PF08521		13	PF08521
PF08793		14	PF08793
PF11591		15	PF11591
PF01257		16	PF01257
PF08975		17	PF08975
PF03390		18	PF03390
PF03171		19	PF03171
PF13532		20	PF13532
PF13640		21	PF13640
PF13661		22	PF13661
PF13759		23	PF13759
PF10014		24	PF10014
PF13239		25	PF13239
PF13563		26	PF13563
PF03475		27	PF03475
PF06983		28	PF06983
PF06052		29	PF06052
PF12578		30	PF12578
PF17644		31	PF17644
PF11330		32	PF11330
PF00803		33	PF00803
PF01073		34	PF01073
PF06725		35	PF06725
PF02829		36	PF02829
PF10605		37	PF10605
PF00725		38	PF00725
PF02737		39	PF02737
PF18321		40	PF18321
PF16121		41	PF16121
PF16122		42	PF16122
PF04419		43	PF04419
PF17947		44	PF17947
PF03061		45	PF03061
PF13279		46	PF13279
PF13622		47	PF13622
PF12729		48	PF12729
PF04476		49	PF04476
PF18671		50	PF18671
PF17837		51	PF17837
PF05902		52	PF05902
PF01812		53	PF01812
PF06189		54	PF06189
PF09038		55	PF09038
PF03491		56	PF03491
PF07694		57	PF07694
PF01367		58	PF01367
PF02739		59	PF02739
PF05761		60	PF05761
PF02872		61	PF02872
PF02096		62	PF02096
PF01591		63	PF01591
PF00393		64	PF00393
PF02294		65	PF02294
PF07698		66	PF07698
PF07696		67	PF07696
PF07695		68	PF07695
PF07697		69	PF07697
PF00001		70	PF00001
PF00002		71	PF00002
PF00003		72	PF00003
PF13853		73	PF13853
PF02949		74	PF02949
PF08395		75	PF08395
PF02117		76	PF02117
PF10292		77	PF10292
PF02175		78	PF02175
PF10316		79	PF10316
PF10317		80	PF10317
PF10318		81	PF10318
PF10327		82	PF10327
PF10319		83	PF10319
PF10320		84	PF10320
PF10321		85	PF10321
PF10322		86	PF10322
PF10323		87	PF10323
PF10324		88	PF10324
PF10328		89	PF10328
PF10325		90	PF10325
PF10326		91	PF10326
PF14402		92	PF14402
PF17028		93	PF17028
PF07388		94	PF07388
PF07966		95	PF07966
PF08792		96	PF08792
PF00207		97	PF00207
PF07703		98	PF07703
PF07677		99	PF07677
PF00004		100	PF00004
PF09820		101	PF09820
PF12846		102	PF12846
PF13086		103	PF13086
PF13087		104	PF13087
PF13166		105	PF13166
PF13173		106	PF13173
PF13175		107	PF13175
PF13191		108	PF13191
PF13207		109	PF13207
PF13238		110	PF13238
PF13245		111	PF13245
PF07724		112	PF07724
PF13304		113	PF13304
PF13401		114	PF13401
PF13476		115	PF13476
PF13479		116	PF13479
PF13481		117	PF13481
PF13500		118	PF13500
PF13514		119	PF13514
PF13521		120	PF13521
PF13555		121	PF13555
PF07726		122	PF07726
PF13604		123	PF13604
PF13614		124	PF13614
PF13654		125	PF13654
PF13671		126	PF13671
PF13872		127	PF13872
PF14516		128	PF14516
PF07728		129	PF07728
PF12774		130	PF12774
PF12775		131	PF12775
PF12780		132	PF12780
PF12781		133	PF12781
PF14363		134	PF14363
PF16193		135	PF16193
PF09821		136	PF09821
PF17857		137	PF17857
PF17872		138	PF17872
PF18198		139	PF18198
PF17863		140	PF17863
PF17862		141	PF17862
PF17864		142	PF17864
PF17865		143	PF17865
PF17866		144	PF17866
PF17867		145	PF17867
PF17868		146	PF17868
PF17871		147	PF17871
PF08298		148	PF08298
PF18280		149	PF18280
PF04611		150	PF04611
PF03306		151	PF03306
PF05282		152	PF05282
PF08142		153	PF08142
PF03417		154	PF03417
PF07247		155	PF07247
PF13339		156	PF13339
PF00696		157	PF00696
PF00324		158	PF00324
PF13520		159	PF13520
